,en,zh
RAT_KING,Rat King,鼠王
MISER,Miser,吝啬鬼
DICE,Dice,骰子
COOKER,Cooker,高压锅
DESPISED,Despised,被厌恶者
SPECIMEN,Specimen,标本
CURSE_FIEND,Curse Fiend,咒魔
MAIN_SERVER,Main Server,主服务器
STEVE,Steve,史蒂夫
GLITCH,Glitch,漏洞
CREEPER,Creeper,苦力怕
ANGLER,Angler,钓鱼佬
SPEED_RUNNER,Speed Runner,速通者
CRATE_GOBBLER,Crate Gobbler,箱子吞吞怪
WEAPON_KEY,Key,花园钥匙
ADAPTOR,Adaptor,适应者
ROGUE_AI,Rogue AI,流窜AI
WEAPON_ADAPTOR_SMG,Adaptor SMG,适应冲锋枪
ITEM_FORECAST,Forecast,天气预报
ITEM_NO_FORECAST,No Forecast,失效的天气预报
WEATHER_MANIAC,Weather Maniac,天气狂
ITEM_AUTO_OPEN_BOX,Auto Crates,自动化箱子
ITEM_INTERDICTION,Interdiction,封杀令
ITEM_MILK,Milk,牛奶
ITEM_DIRECTED_TRAINING,Directed Training,定向训练
ITEM_NO_DIRECTED_TRAINING,No Directed Training,失效的定向训练
ITEM_CLOWN_FISH,Clown Fish,小丑鱼
ITEM_CLOWN_FISH_USED,Resting Clown Fish,休息的小丑鱼
ATHLETE,Athlete,运动员
WEAPON_RAPHAEL,Raphael,拉斐尔
WEAPON_CLASS_DIVINE,Divine,神器
WEAPON_BAPHOMET,Baphomet,巴风特
EFFECT_TWO_HAND_WEAPON_SLOT_LIMIT,Only has two hands (so can only hold two weapons),只有两只手所以只拿两个武器
ITEM_RAT_KING_RATZILLA,Rat Subject,鼠族臣民
EFFECT_RATZILLA_KILLER_BOSS_TEXT,Ratzilla targets and attacks bosses,鼠斯拉会锁定并攻击 boss
EFFECT_RATZILLA_BOX_TEXT,Ratzilla stays closer to its target,鼠斯拉会更加贴近目标
WEAPON_CLASS_DICE,Dice,骰子
SIX_SIDED_GUN,Six Sided Gun,六面枪
EFFECT_RANDOM_PROJECTILES_TEXT,Every 10th shot fires 1-6 projectiles of 6 random bullet types (Projectile traits scale with weapon tier),每射击10次随机1至6弹丸数并且弹丸从6种子弹类型中随机（子弹特性会随武器提升）
EFFECT_RANDOM_COOLDOWN_DAMAGE_TEXT,More projectiles increase shooting cooldown and reduce damage (Damage / Projectiles),弹丸数越多射击伤害冷却越慢，越多伤害越低（伤害/弹丸数）
EFFECT_GIN_RANDOM_KILLED_STAT,Gain {3} to {4} {1} for every {2} enemies killed with this weapon during a wave,使用该武器在敌袭中每击杀{2}名敌人便会{3}至{4}{1}
EFFECT_ADD_CHANCE_DEAL_DMG_WHEN_PICKUP_GOLD,{0} ({1}) chance to deal {2} ({3}) damage to a random enemy when picking up a material,拾取材料时有{0}（{1}）概率对随机1名敌人造成{2}（{3}）伤害
